1252709	Yorjing Mountains	Yorjing Mountains	Vorjing,Yorjing Mountains	28.35555	94.40003	T	MTS	IN		30				0		3816	Asia/Kolkata	2012-10-06
1252710	Yonggyap La	Yonggyap La	Chiang-Chia-p'u Shan-K'ou,Chiang-Chia-p’u Shan-K’ou,Yonggyab La,Yonggyap La,Yonggyap Pass,Yongjia La,yong jia la,永加拉	29.21667	95.58333	T	PASS	IN		00				0		3876	Asia/Kolkata	2013-06-04
1252711	Yomtam	Yomtam		27.92356	93.30065	P	PPL	IN		30	256			0		1019	Asia/Kolkata	2014-10-14
1252712	Yomcha	Yomcha		28.12643	94.55219	P	PPL	IN		30	250			0		726	Asia/Kolkata	2014-10-14
1252713	Yol Jig	Yol Jig		12.41667	92.9	H	STM	IN		00				0		1	Asia/Kolkata	1994-01-13
1252714	Yol	Yol	Yol	32.16423	76.19622	P	PPL	IN		11	024			11314		672	Asia/Kolkata	2015-09-06
1252715	Yoba	Yoba		27.97259	93.72746	P	PPL	IN		30	256			0		929	Asia/Kolkata	2014-10-14
1252716	Yiyu	Yiyu	Yiku,Yiyu	28.55981	94.63294	P	PPL	IN		30	250			0		974	Asia/Kolkata	2014-10-14
1252717	Yingku	Yingku		28.44376	94.88342	P	PPL	IN		30	251			0		652	Asia/Kolkata	2014-10-14
1252718	Yimtsung-aenrr	Yimtsung-aenrr		26.10453	94.78851	P	PPL	IN		20	267			0		1238	Asia/Kolkata	2014-10-14
1252719	Yimpang	Yimpang		26.32101	94.18467	P	PPL	IN		03				0		747	Asia/Kolkata	2012-10-06
1252720	Yezami	Yezami		26.05	94.56667	P	PPL	IN		20	263			0		1381	Asia/Kolkata	2014-10-14
1252721	Yeulkhed	Yeulkhed	YAD,Yeulkhed	20.72512	77.07996	S	RSTN	IN		16	501			0		297	Asia/Kolkata	2018-05-09
1252722	Yesvantpur	Yesvantpur		13.02365	77.55342	P	PPLX	IN		19	572			0		920	Asia/Kolkata	2015-10-04
1252723	Yeshwant Sāgar	Yeshwant Sagar		22.81847	75.69553	H	RSV	IN		35				0		520	Asia/Kolkata	2015-09-06
1252724	Kanavehalli	Kanavehalli	Kanavehalli,Kannevihalli,Yeshwantnagar	15.04376	76.49832	P	PPL	IN		19	565			0		605	Asia/Kolkata	2015-12-05
1252725	Yerūr	Yerur		14.17677	80.04152	P	PPL	IN		02	550			0		8	Asia/Kolkata	2015-09-06
1252726	Yerupālem	Yerupalem		16.82211	80.47017	P	PPL	IN		40	541			0		64	Asia/Kolkata	2014-10-10
1252727	Yerūl	Yerul		19.98333	75.15	T	MT	IN		16	515			0		739	Asia/Kolkata	2014-10-13
1252728	Yerukālave	Yerukalave		13.44762	78.29938	P	PPL	IN		19	581			0		835	Asia/Kolkata	2016-11-22
1252729	Yermarās Cantonment	Yermaras Cantonment	Yermaras,Yermaras Cantonment,Yermarās,Yermarās Cantonment	16.26971	77.35982	S	INSM	IN		19	559			0		370	Asia/Kolkata	2015-08-07
1252730	Yermala	Yermala		18.39127	75.87122	P	PPL	IN		16	525			0		703	Asia/Kolkata	2014-10-13
1252731	Yerli	Yerli		20.92793	76.4767	P	PPL	IN		16	500			0		243	Asia/Kolkata	2015-08-07
1252732	Yerla River	Yerla River	Verla River,Yerla River,Yerlo	16.93274	74.51023	H	STM	IN		00				0		543	Asia/Kolkata	2013-02-08
1252733	Yergara	Yergara	Yergara,Yergira	16.06979	77.41287	P	PPL	IN		19	559			0		363	Asia/Kolkata	2014-10-14
1252734	Yercaud	Yercaud	erkatu,yarakauda,yerakada,yerakauda,yerkad,ایرکاڈ,यरकौड,येरकौड,યેરકાડ,ஏற்காடு,యేర్కాడ్,യേർക്കാട്	11.77599	78.20927	P	PPL	IN		25	608			0		1414	Asia/Kolkata	2014-10-14
1252735	Koregaon Park	Koregaon Park	Yelaoda,Yeravda	18.53333	73.9	P	PPL	IN	IN	16	521			0		554	Asia/Kolkata	2014-10-13
1252736	Yerandwane	Yerandwane	Yerandavna,Yerandwane	18.5058	73.82957	P	PPLX	IN		16	521			0		567	Asia/Kolkata	2014-10-13
1252737	Yerandeshwar	Yerandeshwar		19.85447	76.35428	P	PPL	IN		16	514			0		543	Asia/Kolkata	2014-10-13
1252738	Yeola	Yeola	Yeola,Yevale,Yewle	20.0424	74.48944	P	PPL	IN		16	516			46762		562	Asia/Kolkata	2015-09-06
1252739	Yenūr	Yenur	Venur,Venūr,Yenur,Yenuru,Yenūr,Yēnūru	13.01206	75.14395	P	PPL	IN		19	575			0		85	Asia/Kolkata	2015-10-04
1252740	Yengji	Yengji		27.33333	93.01667	P	PPL	IN		30	247			0		618	Asia/Kolkata	2014-10-14
1252741	Yemsing	Yemsing		28.1025	95.00379	P	PPL	IN		30	251			0		557	Asia/Kolkata	2014-10-14
1252742	Yelvan	Yelvan		16.85366	73.82212	P	PPL	IN		16	530			0		773	Asia/Kolkata	2014-10-13
1252743	Yellāreddi	Yellareddi		18.19433	78.01777	P	PPL	IN		40	533			0		446	Asia/Kolkata	2014-10-10
1252744	Yellāpur	Yellapur	Yellapur,Yellāpur	14.9637	74.70929	P	PPL	IN		19	563			19343		559	Asia/Kolkata	2015-12-05
1252745	Yellandu	Yellandu	Yellandlapad,Yellandlapād,Yellandrapad,Yellandu	17.59064	80.32146	P	PPL	IN		40	541			43787		213	Asia/Kolkata	2014-10-10
1252746	Yellakūru Railway Station	Yellakuru Railway Station	Yellakaru,Yellakuru,Yellakuru Railway Station,Yellakūru,Yellakūru Railway Station	13.84643	79.65049	S	RSTN	IN		02	550			0		73	Asia/Kolkata	2020-06-10
1252747	Yelkaturti	Yelkaturti		18.10148	79.44948	P	PPL	IN		40	534			0		270	Asia/Kolkata	2014-10-10
1252748	Yeljāl	Yeljal		16.81897	78.36249	P	PPL	IN		40	538			0		532	Asia/Kolkata	2014-10-10
1252749	Yelgonda	Yelgonda		18.89573	79.05762	P	PPL	IN		40	534			0		196	Asia/Kolkata	2014-10-10
1252750	Yelgaon	Yelgaon		17.12946	74.02676	P	PPL	IN		16	527			0		684	Asia/Kolkata	2014-10-13
1252751	Yeldāri	Yeldari		16.98922	75.18788	P	PPL	IN		16	531			0		708	Asia/Kolkata	2014-10-13
1252752	Yelchang	Yelchang		33.91667	76.86667	P	PPL	IN		41	003			0		4366	Asia/Kolkata	2019-10-18
1252753	Yelbarga	Yelbarga	Yelbarga	15.61545	76.01184	P	PPL	IN		19	560			12023		604	Asia/Kolkata	2014-10-14
1252754	Yelābāra	Yelabara	Yelabara,Yelbara,Yelbāra,Yellabara,Yelābāra	20.23826	78.31235	P	PPL	IN		16	510			0		306	Asia/Kolkata	2020-06-10
1252755	Yelatturdibba	Yelatturdibba		15.78086	80.87351	P	PPL	IN		02	547			0		7	Asia/Kolkata	2014-10-10
1252756	Yelandūr	Yelandur	Jagir,Jāgīr,Yelandur,Yelandūr	12.04629	77.03034	P	PPL	IN		19	578			8901		663	Asia/Kolkata	2016-09-08
1252757	Yelamb	Yelamb		18.79383	75.82634	P	PPL	IN		16	523			0		717	Asia/Kolkata	2014-10-13
1252758	Yelahanka	Yelahanka	Yelahanka,yalahanka,ye la han ka,yelahanka,یلہانکا,यलहंक,য়েলাহান্কা,ಯಲಹಂಕ,耶拉汉卡	13.10073	77.59632	P	PPL	IN		19	572			116447		903	Asia/Kolkata	2015-10-04
1252759	Yekhum	Yekhum		26.15005	94.23523	P	PPL	IN		20	264			0		970	Asia/Kolkata	2014-10-14
1252760	Yedrāmi	Yedrami	Yedrami,Yedrāmi	16.85517	76.53386	P	PPL	IN		19	579			0		457	Asia/Kolkata	2015-08-07
1252761	Yadahalli	Yadahalli	Yadahalli,Yedhalli	16.83883	77.1481	P	PPL	IN		19	580			0		391	Asia/Kolkata	2015-08-07
1252762	Yedbuk	Yedbuk	Yedbuk,Yediuk	27.13076	95.93856	P	PPL	IN		30	253			0		929	Asia/Kolkata	2014-10-14
1252763	Yedatore	Yedatore		12.46528	76.39449	P	PPL	IN		19	577			0		754	Asia/Kolkata	2015-11-08
1252764	Yedapalli	Yedapalli	Edpalli,Yadpalli,Yedapalli	18.68006	77.94741	P	PPL	IN		40	533			0		372	Asia/Kolkata	2014-10-10
1252765	Yechagām	Yechagam		33.98734	74.75166	P	PPL	IN		12	002			0		1620	Asia/Kolkata	2015-08-07
1252766	Yebarhatti	Yebarhatti		16.53436	74.97929	P	PPL	IN		19	555			0		549	Asia/Kolkata	2014-10-14
1252767	Yaytah	Yaytah		33.32563	77.22268	P	PPL	IN		41	004			0		3998	Asia/Kolkata	2019-10-18
1252768	Yavluj	Yavluj		16.73494	74.12873	P	PPL	IN		16	530			0		560	Asia/Kolkata	2014-10-13
1252769	Yavatmāl	Yavatmal	Oeotmal,YTL,Yavatmal,Yavatmāl	20.38704	78.11969	S	RSTN	IN		16	510			0		462	Asia/Kolkata	2020-06-10
1252770	Yavatmāl	Yavatmal	Yavatmal,Yavatmāl,Yeotmal,Yeotmāl	20.39324	78.13201	P	PPL	IN		16	510			128175		446	Asia/Kolkata	2015-04-08
